depth,difference_ci95_high,difference_ci95_low,difference_mean,difficulty_regime,metric,paired_seed_n,reference,sweep,variant
16,-0.000666666601318866,-0.015333332121372223,-0.007333333604037762,low,final_val_accuracy,5,baseline,difficulty,sa_ff_gated
16,0.013333332724869251,-0.019999999552965164,-0.0013333328533917665,low,final_test_accuracy,5,baseline,difficulty,sa_ff_gated
16,0.0018023435259237885,-0.0015205105300992727,0.00030265291570685804,medium,learning_curve_auc,5,baseline,difficulty,static_scale
16,0.005333333276212215,-0.0026666666381061077,0.000666666601318866,medium,final_val_accuracy,5,baseline,difficulty,static_scale
16,0.006000000052154064,-0.0020000000949949026,0.0026666666381061077,medium,final_test_accuracy,5,baseline,difficulty,static_scale
16,0.005150839686393738,0.0007768601062707603,0.0036169961094856262,medium,learning_curve_auc,5,baseline,difficulty,gated
16,0.005333333276212215,-0.005333333276212215,0.0,medium,final_val_accuracy,5,baseline,difficulty,gated
16,0.00866666715592146,-0.0026666666381061077,0.0026666666381061077,medium,final_test_accuracy,5,baseline,difficulty,gated
16,0.013334358111023903,0.006603361573070288,0.009911486878991127,medium,learning_curve_auc,5,baseline,difficulty,sa_ff_gated
16,0.004666666500270367,0.0006666666595265269,0.0026666666381061077,medium,final_val_accuracy,5,baseline,difficulty,sa_ff_gated
16,0.006000000052154064,0.0,0.003333333181217313,medium,final_test_accuracy,5,baseline,difficulty,sa_ff_gated
16,0.0008069025352597237,-0.0009095314890146255,-2.2672571503790095e-05,mixed,learning_curve_auc,5,baseline,difficulty,static_scale
16,0.029333334416151047,-0.009333333000540733,0.01066666655242443,mixed,final_val_accuracy,5,baseline,difficulty,static_scale
16,0.02866666577756405,-0.019999999552965164,0.007333333604037762,mixed,final_test_accuracy,5,baseline,difficulty,static_scale
16,0.0021908567287027836,-0.007319205440580845,-0.0021038323175162077,mixed,learning_curve_auc,5,baseline,difficulty,gated
16,0.03333333134651184,-0.02266666665673256,0.006666666362434626,mixed,final_val_accuracy,5,baseline,difficulty,gated
16,0.006666666362434626,-0.06469999998807907,-0.030000001192092896,mixed,final_test_accuracy,5,baseline,difficulty,gated
16,0.005321997683495283,-0.004720210563391447,0.00025470793480053544,mixed,learning_curve_auc,5,baseline,difficulty,sa_ff_gated
16,0.01133333332836628,-0.03999999910593033,-0.00866666715592146,mixed,final_val_accuracy,5,baseline,difficulty,sa_ff_gated
16,-0.0026666666381061077,-0.0560000017285347,-0.02800000086426735,mixed,final_test_accuracy,5,baseline,difficulty,sa_ff_gated
