competent_seed_n,depth,difficulty_regime,final_test_accuracy_ci95_high,final_test_accuracy_ci95_low,final_test_accuracy_mean,final_test_loss_ci95_high,final_test_loss_ci95_low,final_test_loss_mean,final_val_accuracy_ci95_high,final_val_accuracy_ci95_low,final_val_accuracy_mean,final_val_loss_ci95_high,final_val_loss_ci95_low,final_val_loss_mean,learning_curve_auc_ci95_high,learning_curve_auc_ci95_low,learning_curve_auc_mean,reliably_competent,seed_n,sweep,training_seconds_ci95_high,training_seconds_ci95_low,training_seconds_mean,variant
2,12,mixed,0.9233332872390747,0.7619999647140503,0.8399999737739563,1.04073166847229,0.2882477641105652,0.6871095895767212,0.9420000314712524,0.781999945640564,0.8619999885559082,0.8102391362190247,0.20018239319324493,0.5157273411750793,0.6684623956680298,0.578851044178009,0.6236567497253418,False,5,depth,72.68401336669922,72.2823257446289,72.45880126953125,sa_ff_gated
2,12,mixed,0.9193333387374878,0.7580000162124634,0.8373333215713501,1.0028672218322754,0.31700044870376587,0.6599338054656982,0.949999988079071,0.8286666870117188,0.8893333673477173,0.7010798454284668,0.20224495232105255,0.458495557308197,0.6656936407089233,0.5724908113479614,0.6183910965919495,False,5,depth,70.37043762207031,67.1695785522461,68.92549896240234,static_scale
1,16,mixed,0.8726666569709778,0.7886666059494019,0.8286666870117188,0.8646865487098694,0.4873027801513672,0.6855052709579468,0.8986666798591614,0.8173333406448364,0.8579999804496765,0.6727522015571594,0.3611606955528259,0.5174638032913208,0.6208200454711914,0.5672620534896851,0.5940818786621094,False,5,depth,168.33908081054688,94.87492370605469,131.60699462890625,baseline
2,16,mixed,0.8579999804496765,0.7406666874885559,0.7986667156219482,1.0255141258239746,0.5584325194358826,0.7932788133621216,0.9113333821296692,0.8180000185966492,0.8646666407585144,0.7242273092269897,0.3394782543182373,0.5335239171981812,0.6213594079017639,0.5639580488204956,0.5919780135154724,False,5,depth,175.46298217773438,133.94943237304688,152.66183471679688,gated
1,16,mixed,0.8546665906906128,0.75,0.8006666302680969,1.043604850769043,0.5981987714767456,0.8209018707275391,0.9053333401679993,0.8032667636871338,0.8493334054946899,0.7962936758995056,0.3465106785297394,0.5821579694747925,0.6236125230789185,0.5656352639198303,0.5943365693092346,False,5,depth,114.32784271240234,93.70771789550781,104.01778411865234,sa_ff_gated
2,16,mixed,0.8853333592414856,0.7866666316986084,0.8360000848770142,0.8866022825241089,0.41643524169921875,0.6581417918205261,0.9146833419799805,0.8212499618530273,0.8686666488647461,0.6663721203804016,0.3107377886772156,0.4891873896121979,0.6212299466133118,0.5668884515762329,0.59405916929245,False,5,depth,112.43289184570312,93.66230010986328,101.2586898803711,static_scale
5,16,high,0.9946666955947876,0.9899999499320984,0.9919999837875366,0.03224460035562515,0.02416539192199707,0.02820499613881111,0.999333381652832,0.9953333139419556,0.9973333477973938,0.017440173774957657,0.008232169784605503,0.012777249328792095,0.7935195565223694,0.767203688621521,0.7814196348190308,True,5,difficulty,98.95716857910156,92.32234954833984,95.13945007324219,baseline
5,16,high,0.9933333396911621,0.9866666793823242,0.9906666874885559,0.06110535189509392,0.027449145913124084,0.03974338620901108,0.9979999661445618,0.9853333234786987,0.9926666021347046,0.034582071006298065,0.00985041819512844,0.020574083551764488,0.7934627532958984,0.7609227299690247,0.7776881456375122,True,5,difficulty,102.49345397949219,97.34117126464844,99.66783142089844,gated
5,16,high,0.9946666955947876,0.9906666874885559,0.9926666021347046,0.04399757832288742,0.023106105625629425,0.03355184197425842,0.9986666440963745,0.9919999837875366,0.9953333139419556,0.03251081705093384,0.009884467348456383,0.020937878638505936,0.7975605726242065,0.7727564573287964,0.7847002148628235,True,5,difficulty,115.96202087402344,107.83760070800781,112.6069564819336,sa_ff_gated
5,16,high,0.9926666021347046,0.9886667132377625,0.9906666874885559,0.035036489367485046,0.028102120384573936,0.031146889552474022,0.999333381652832,0.9926666021347046,0.9959999918937683,0.023650621995329857,0.008251478895545006,0.015182608738541603,0.7947065234184265,0.7696608304977417,0.7817844152450562,True,5,difficulty,97.40959167480469,91.63494873046875,94.77095031738281,static_scale
