depth,difficulty_regime,final_test_accuracy,final_test_loss,final_val_accuracy,final_val_loss,learning_curve_auc,seed,sweep,tokens_seen,training_seconds,training_steps,variant
16,low,0.98,0.0581164834896723,0.9833333333333333,0.062161533435185753,0.7674778914189904,55,difficulty,1062408,116.23658340005204,456,static_scale
16,medium,0.9833333333333332,0.0595410841703414,0.9933333333333333,0.018783333897590637,0.8030887002820856,11,difficulty,1010568,89.41771350009367,456,baseline
16,medium,0.99,0.0403514395157496,0.9966666666666667,0.013656339446703592,0.8096113588265874,22,difficulty,1010568,220.1631382999476,456,baseline
16,medium,0.9866666666666668,0.0622659807403882,0.9866666666666667,0.04126559734344482,0.8175912803492689,33,difficulty,1010568,220.15156439994465,456,baseline
16,medium,0.98,0.0565037832657496,0.99,0.025284963150819142,0.8084375140185189,44,difficulty,1010568,220.07931969990025,456,baseline
16,medium,0.9566666666666668,0.1156363741556803,0.9866666666666667,0.03760684907436371,0.7369547175449846,55,difficulty,1010568,222.07297049998303,456,baseline
16,medium,0.9866666666666668,0.0339039491613705,0.9933333333333333,0.03354426170388858,0.8083577601903087,11,difficulty,1010568,231.2088770000264,456,gated
16,medium,0.9833333333333332,0.0415392903486887,0.9866666666666667,0.03858090132474899,0.8147690721125809,22,difficulty,1010568,231.75936829997227,456,gated
16,medium,0.9866666666666668,0.0527724902828534,0.9933333333333333,0.021391433775424958,0.8223627207669351,33,difficulty,1010568,231.7447355999612,456,gated
16,medium,0.9933333333333332,0.037072687447071,0.9966666666666667,0.015466554462909699,0.8133381672485177,44,difficulty,1010568,252.6777333999053,456,gated
16,medium,0.96,0.1186237760384877,0.9833333333333333,0.061451147794723514,0.7349408319545707,55,difficulty,1010568,252.73510630009696,456,gated
16,medium,0.9866666666666668,0.0263624247908592,0.9933333333333333,0.02946862464149793,0.8106979705142718,11,difficulty,1010568,256.5456598000601,456,sa_ff_gated
16,medium,0.9933333333333332,0.0243180185556411,0.9966666666666667,0.009436661352713902,0.8252084751677605,22,difficulty,1010568,297.0054184999317,456,sa_ff_gated
16,medium,0.9833333333333332,0.0603066962460676,0.9933333333333333,0.018640613357226055,0.8238244432833813,33,difficulty,1010568,296.92261040001176,456,sa_ff_gated
16,medium,0.9866666666666668,0.063334321975708,0.9933333333333333,0.015079152782758077,0.8149081209775098,44,difficulty,1010568,297.00545640010387,456,sa_ff_gated
16,medium,0.9633333333333334,0.1066190004348754,0.99,0.046855119864145915,0.7506019931365331,55,difficulty,1010568,238.7139517001342,456,sa_ff_gated
16,medium,0.9866666666666668,0.0561945481101671,0.99,0.02737163265546163,0.8039259588007271,11,difficulty,1010568,221.95277380011976,456,static_scale
16,medium,0.9833333333333332,0.0385012859106063,0.9933333333333333,0.013907022426525752,0.8062004387631507,22,difficulty,1010568,221.9767400999553,456,static_scale
16,medium,0.99,0.0645146326224009,0.9866666666666667,0.048206098079681396,0.8175909768895643,33,difficulty,1010568,260.19214089983143,456,static_scale
16,medium,0.9866666666666668,0.0552830855051676,1.0,0.009491963187853496,0.8098942327483157,44,difficulty,1010568,259.3414511000737,456,static_scale
16,medium,0.9633333333333334,0.1331765170892079,0.9866666666666667,0.050163031419118244,0.739585228307249,55,difficulty,1010568,259.44595919991843,456,static_scale
16,mixed,0.8033333333333333,0.7131503423055013,0.86,0.5589260737101237,0.5667079960122035,11,difficulty,999048,125.04125430015849,456,baseline
16,mixed,0.8166666666666667,0.7987326431274414,0.8166666666666667,0.6861808395385742,0.573869857437614,22,difficulty,999048,170.41115850000642,456,baseline
16,mixed,0.91,0.3508386294047038,0.9333333333333333,0.246823574701945,0.6324557078338578,33,difficulty,999048,187.91592409997247,456,baseline
16,mixed,0.76,0.979539082845052,0.8033333333333333,0.7162366612752279,0.5645123524261764,44,difficulty,999048,87.16936310008168,456,baseline
16,mixed,0.8533333333333334,0.585265375773112,0.8766666666666667,0.3791519546508789,0.6328634510053572,55,difficulty,999048,87.49731000000611,456,baseline
16,mixed,0.75,0.976710605621338,0.81,0.7420606040954589,0.554591412691549,11,difficulty,999048,123.61557619995438,456,gated
16,mixed,0.7266666666666667,1.075739059448242,0.8133333333333334,0.7546832211812338,0.5724713710786002,22,difficulty,999048,149.30399219994433,456,gated
16,mixed,0.88,0.4391091092427571,0.94,0.20605198701222738,0.6303202165127868,33,difficulty,999048,156.08834760007448,456,gated
16,mixed,0.7466666666666667,0.9996908887227376,0.8433333333333334,0.627649122873942,0.5656645626636558,44,difficulty,999048,193.46263210009784,456,gated
16,mixed,0.89,0.4751444943745931,0.9166666666666666,0.33717467308044435,0.6368426391925112,55,difficulty,999048,140.8386725001037,456,gated
16,mixed,0.7233333333333334,1.1741832605997722,0.79,0.8869659296671549,0.5603968010879691,11,difficulty,999048,119.38112789997832,456,sa_ff_gated
16,mixed,0.77,0.9707467842102052,0.8166666666666667,0.7161735280354817,0.5779704428616044,22,difficulty,999048,118.95700749987736,456,sa_ff_gated
16,mixed,0.9033333333333332,0.4200025622049967,0.9433333333333334,0.17177427450815835,0.642050535443075,33,difficulty,999048,94.96297120000236,456,sa_ff_gated
16,mixed,0.7666666666666667,0.9281643676757813,0.8033333333333333,0.7456814448038737,0.5632696577141438,44,difficulty,999048,93.58218899997884,456,sa_ff_gated
16,mixed,0.84,0.6114123407999674,0.8933333333333333,0.3901947625478109,0.6279954666842834,55,difficulty,999048,93.2056217000354,456,sa_ff_gated
16,mixed,0.8333333333333334,0.6763398551940918,0.86,0.5653854688008626,0.5651322809314467,11,difficulty,999048,91.41823279997334,456,static_scale
16,mixed,0.7733333333333333,0.9226100794474285,0.79,0.7291838200887044,0.5738677137301378,22,difficulty,999048,96.2949999999255,456,static_scale
16,mixed,0.91,0.2607485103607178,0.9466666666666667,0.16453476786613463,0.633740716161786,33,difficulty,999048,94.59000289998949,456,static_scale
16,mixed,0.7766666666666666,0.988841183980306,0.8366666666666667,0.6540537325541178,0.5651550576148494,44,difficulty,999048,123.37107279989868,456,static_scale
16,mixed,0.8866666666666667,0.4421696599324544,0.91,0.33277901490529377,0.6324002333554878,55,difficulty,999048,100.61918760021216,456,static_scale
