final_applied_scale_mean,final_candidate_update_norm,final_effective_update_norm,final_test_accuracy,final_test_loss,final_val_accuracy,final_val_loss,learning_curve_auc,mean_gradient_norm,mean_parameter_update_norm,seconds_to_80,seconds_to_90,seconds_to_95,seconds_to_99,seed,steps_to_80,steps_to_90,steps_to_95,steps_to_99,tokens_to_80,tokens_to_90,tokens_to_95,tokens_to_99,variant
0.7527034282684326,4.021998882293701,3.1896512508392334,0.9933333333333332,0.044770904580752,1.0,0.009542278150717417,0.7758491583781305,0.6769798818944565,0.11147914065966176,43.049304799875244,49.72852659993805,51.89229049999267,58.33032129984349,11,180,210,220,250,364969,425584,446139,506753,sa_ff_gated
0.7583188414573669,3.848663091659546,3.0274598598480225,0.9933333333333332,0.0445218604803085,0.9933333333333333,0.04093372106552124,0.7650114355110039,0.6654003984924884,0.11149907389825486,45.58827599999495,47.81057720002718,50.1009827000089,52.23339690011926,22,200,210,220,230,405847,425631,446332,466197,sa_ff_gated
0.7636755704879761,4.131203651428223,3.322972059249878,0.9966666666666668,0.0177245117227236,0.9933333333333333,0.0191998291015625,0.800954507189169,0.565014313667155,0.1007687030434688,39.00407580006868,39.00407580006868,41.2377400000114,43.46626790007576,33,160,160,170,180,324442,324442,344958,365123,sa_ff_gated
0.7820713520050049,3.802323341369629,3.0892677307128906,0.99,0.0414023778835932,0.99,0.030210645099480946,0.7831511171850427,0.6245678421412845,0.10073899513024319,47.453471200075,53.36208790005185,53.36208790005185,63.16650220006704,44,170,190,190,230,345026,385070,385070,466201,sa_ff_gated
0.7526959180831909,4.515372276306152,3.718729019165039,0.99,0.0193395606676737,1.0,0.004802922159433365,0.8018734147903844,0.5192615004069507,0.09751951477071841,34.21083340002224,36.75445219990797,36.75445219990797,39.00150329992175,55,150,160,160,170,304342,324626,324626,345017,sa_ff_gated
1.0099713802337646,3.9335269927978516,3.9814746379852295,0.9933333333333332,0.0302729745705922,1.0,0.00870991955200831,0.7742050128692329,0.7533300571324335,0.11937044718060733,38.849866800010204,43.12034850008786,47.30228379997425,58.28127399994992,11,180,200,220,270,364969,405440,446139,547393,static_scale
1.0063533782958984,3.589053153991699,3.6159965991973877,0.99,0.0281899384657541,0.9966666666666667,0.013243375966946283,0.7603865007949491,0.7334706129946001,0.11643875650389736,42.10881939996034,44.125961899990216,46.140855399891734,56.329711499856785,22,200,210,220,270,405847,425631,446332,547327,static_scale
1.0054314136505127,3.971893787384033,4.015231132507324,0.9933333333333332,0.0269288762410481,0.9933333333333333,0.018073866963386535,0.7872114972602384,0.6176418892700317,0.10067750209185632,37.65702689997852,39.71114209992811,39.71114209992811,49.65701789990999,33,170,180,180,230,344958,365123,365123,466067,static_scale
1.0117955207824707,3.850518226623535,3.9010024070739746,0.9866666666666668,0.0383249254028002,0.99,0.030588787098725638,0.7841260337225844,0.6739383498935554,0.10717562266602194,34.74529749993235,36.688997599994764,38.633387099951506,46.797690999927,44,170,180,190,230,345026,365113,385070,466201,static_scale
1.0143005847930908,4.277217388153076,4.342122554779053,0.99,0.03201773583889,1.0,0.00529708981513977,0.8057850989574767,0.540462917911575,0.09662367799344201,28.238541000057012,30.245159999933094,30.245159999933094,35.95205520000309,55,140,150,150,180,283837,304342,304342,365061,static_scale
