accuracy,block_update_norm,condition,depth,effective_block_count,effective_block_fraction,effective_ff_count,effective_ff_fraction,effective_sa_count,effective_sa_fraction,ff_update_norm,fraction_near_zero_block,fraction_near_zero_ff,fraction_near_zero_sa,fraction_negative_block,fraction_negative_ff,fraction_negative_sa,matched_parameter_control,mean_target_logprob,repair_event_rate,residual_norm_acf_lag1,sa_update_norm,seed,task_family,update_norm_acf_lag1,utility_block,utility_ff,utility_sa,width
0.5777777777777777,2.2510948359138436,depth16_width32_matched,16,13,0.8125,12,0.75,10,0.625,1.416098836147123,0.018055555555555554,0.01875,0.021527777777777778,0.3958333333333333,0.39305555555555555,0.4361111111111111,True,-1.3798888353837861,0.0,0.20817399796154254,1.5451712001115083,11,maximum,0.39098908162316853,0.07229972465170754,0.033715487530248035,0.03827761848353677,32
0.6333333333333333,2.182093082740903,depth16_width32_matched,16,16,1.0,13,0.8125,13,0.8125,1.3742010904683006,0.011111111111111112,0.02847222222222222,0.018055555555555554,0.3277777777777778,0.4166666666666667,0.36875,True,-1.2540288690063688,0.0,0.2885542809421875,1.5206802098701397,22,maximum,0.4102181724494408,0.12874762962261835,0.024803124223318367,0.11464031317995654,32
0.6888888888888889,2.3719957357479466,depth16_width32_matched,16,16,1.0,16,1.0,14,0.875,1.5943331316113472,0.02638888888888889,0.03819444444444445,0.03125,0.2590277777777778,0.32222222222222224,0.325,True,-1.0734342389636569,0.0,0.3801866214736138,1.5594663713748256,33,maximum,0.4358804085143169,0.11988118609620466,0.038313849829137325,0.06883513304508394,32
0.7222222222222222,2.2810401199592483,depth16_width32_matched,16,12,0.75,5,0.3125,14,0.875,1.4729073222312663,0.02013888888888889,0.04236111111111111,0.041666666666666664,0.40902777777777777,0.44513888888888886,0.4201388888888889,True,-0.9539166031612291,0.0,0.3019121259302968,1.5498533392532003,44,maximum,0.36291549946900986,0.0956016594130132,-0.005214611989342504,0.09484241503394313,32
0.8888888888888888,2.4879430303970973,depth16_width32_matched,16,16,1.0,15,0.9375,15,0.9375,1.6390698210232788,0.0375,0.06319444444444444,0.07569444444444444,0.20347222222222222,0.2125,0.3145833333333333,True,-0.6042051061987876,0.0,0.3767097823392558,1.6149204925944407,55,maximum,0.32744246306885744,0.12548311089889871,0.04797783147336708,0.06064818953681323,32
0.6555555555555556,2.223310854203171,depth16_width32_matched,16,14,0.875,14,0.875,10,0.625,1.418168402587374,0.020833333333333332,0.021527777777777778,0.015277777777777777,0.3416666666666667,0.3090277777777778,0.4354166666666667,True,-1.3126822468307284,0.0,0.22459257563357748,1.5399569533351394,11,minimum,0.3948639927143126,0.118953442801204,0.04533261569837729,0.07178035802725288,32
0.7888888888888889,2.2614867304348283,depth16_width32_matched,16,12,0.75,14,0.875,11,0.6875,1.5187662952062158,0.025,0.041666666666666664,0.035416666666666666,0.3277777777777778,0.30069444444444443,0.4111111111111111,True,-0.9070006294382943,0.0,0.2600361303078595,1.5113087082281709,22,minimum,0.39163525628359314,0.12181500401347875,0.040866669660641085,0.08313013476630052,32
0.7222222222222222,2.256202713979615,depth16_width32_matched,16,16,1.0,13,0.8125,16,1.0,1.4847270442379845,0.009722222222222222,0.029166666666666667,0.019444444444444445,0.24861111111111112,0.3375,0.29791666666666666,True,-1.056862639884154,0.0,0.3782612106096268,1.5004433190657034,33,minimum,0.43624918163614995,0.22032089906020297,0.04935570553772979,0.1455084226404627,32
0.8,2.4274407337109247,depth16_width32_matched,16,15,0.9375,14,0.875,14,0.875,1.5185474019083711,0.025694444444444443,0.03611111111111111,0.043055555555555555,0.2965277777777778,0.30069444444444443,0.3951388888888889,True,-0.8258522321780523,0.0,0.28106042090520433,1.6332135017961265,44,minimum,0.33954142426034395,0.17617998071428803,0.04746528774913814,0.09922795894866189,32
0.8111111111111111,2.2788238906198077,depth16_width32_matched,16,15,0.9375,9,0.5625,15,0.9375,1.4599577787849638,0.01597222222222222,0.041666666666666664,0.03611111111111111,0.28888888888888886,0.39652777777777776,0.33402777777777776,True,-0.8175497041808234,0.0,0.39394438995631287,1.5197772550707063,55,minimum,0.368664962795861,0.20202178293839096,0.0006208749384515815,0.19975109255562226,32
