condition,depth,layer,matched_parameter_control,near_zero_block_seed_count,near_zero_ff_seed_count,near_zero_sa_seed_count,negative_block_seed_count,negative_ff_seed_count,negative_sa_seed_count,reliable_near_zero_block,reliable_near_zero_ff,reliable_near_zero_sa,reliable_negative_block,reliable_negative_ff,reliable_negative_sa,repair_event_ci95_high,repair_event_ci95_low,repair_event_mean,repeated_repair,seed_n,task_family,utility_block_ci95_high,utility_block_ci95_low,utility_block_mean,utility_ff_ci95_high,utility_ff_ci95_low,utility_ff_mean,utility_sa_ci95_high,utility_sa_ci95_low,utility_sa_mean,width
depth12_width64,12,10,False,0,0,2,0,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.0229235477745533,0.006858999375253916,0.014769461937248707,0.009137885645031929,0.0007858930039219558,0.005155087448656559,0.017474060878157616,0.0015400599222630262,0.009254684671759605,64
depth12_width64,12,11,False,0,0,1,0,0,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.016046619042754173,0.008678974583745003,0.012362795881927013,0.008943500928580761,0.004475765395909548,0.006463644094765186,0.009366663172841072,0.0016143284738063812,0.005490495823323727,64
depth12_width64,12,0,False,0,0,0,0,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.30535703897476196,0.0982811450958252,0.1834326982498169,0.06285183131694794,-0.00021732598543167114,0.02967059053480625,0.2648546099662781,0.0365411601960659,0.1411842703819275,64
depth12_width64,12,1,False,0,0,1,1,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,1.578547477722168,0.09283105283975601,0.7647322416305542,0.04545759782195091,0.006404790095984936,0.02681742049753666,1.8095042705535889,0.052692800760269165,0.8296330571174622,64
depth12_width64,12,2,False,0,0,0,0,0,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.7400635480880737,0.19155026972293854,0.4653409421443939,0.03193388134241104,0.010814016684889793,0.021373949944972992,0.8823758363723755,0.17106828093528748,0.5232685804367065,64
depth12_width64,12,3,False,0,1,0,0,0,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.45078814029693604,0.06762494146823883,0.23454821109771729,0.02541300095617771,0.005927680525928736,0.014365171082317829,0.49924999475479126,0.04750469699501991,0.2393082082271576,64
depth12_width64,12,4,False,0,1,0,0,4,0,False,False,False,False,True,False,0.0,0.0,0.0,False,5,minimum,0.25147736072540283,0.027725284919142723,0.12012239545583725,-0.0029048279393464327,-0.014142359606921673,-0.00747675308957696,0.30330610275268555,0.027391761541366577,0.13660526275634766,64
depth12_width64,12,5,False,1,0,0,0,0,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.3176262080669403,0.03467694669961929,0.1637994945049286,0.028896460309624672,0.005027867387980223,0.014219815842807293,0.32576271891593933,0.02267875336110592,0.15859629213809967,64
depth12_width64,12,6,False,1,0,0,0,3,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.10316753387451172,0.029930338263511658,0.06657546013593674,0.010268079116940498,-0.006237915251404047,0.001246248953975737,0.10474983602762222,0.049152590334415436,0.07602710276842117,64
depth12_width64,12,7,False,1,1,1,0,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.0625341609120369,0.013085956685245037,0.0378100611269474,0.010925627313554287,0.0011579608544707298,0.00631944602355361,0.05938293784856796,0.011422001756727695,0.03477129340171814,64
depth12_width64,12,8,False,0,0,2,1,2,2,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.02399401366710663,-0.006659647915512323,0.009523903019726276,0.013538980856537819,-0.011418466456234455,0.001565706916153431,0.029207834973931313,-0.004768322221934795,0.007944121956825256,64
depth12_width64,12,9,False,1,2,1,0,0,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.024439534172415733,0.005509034264832735,0.01497428398579359,0.009702791459858418,0.0015624742954969406,0.00489619467407465,0.014695852994918823,0.0013058846816420555,0.007339643780142069,64
depth12_width64,12,10,False,0,0,1,1,2,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.018803546205163002,0.001979159191250801,0.010307477787137032,0.013889169320464134,4.0276536310557276e-05,0.006964723579585552,0.007168543059378862,-0.0002898093080148101,0.003463048953562975,64
depth12_width64,12,11,False,2,0,1,0,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.019345715641975403,0.003987112082540989,0.011734286323189735,0.009901301935315132,-0.00168396788649261,0.003747112350538373,0.010481761768460274,0.0026185319293290377,0.006416472606360912,64
depth16_width32_matched,16,0,True,0,0,0,0,1,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.30264630913734436,0.08919499069452286,0.18182067573070526,0.1245918720960617,0.01604549214243889,0.08089171350002289,0.1538921296596527,0.01291628461331129,0.08110003918409348,32
depth16_width32_matched,16,1,True,0,0,0,0,0,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.3133789002895355,0.12917973101139069,0.20877957344055176,0.10199131816625595,0.05564155429601669,0.07881643623113632,0.1756223738193512,0.06281337887048721,0.1192178875207901,32
