accuracy_minus_baseline,baseline_accuracy,correct,mode,seed,task_family,variant
0.0,1.0,1.0,shuffled,22,first,sa_ff_gated
-0.050000000000000044,1.0,0.95,shuffled,22,last,sa_ff_gated
-0.06666666666666665,0.9833333333333333,0.9166666666666666,shuffled,22,maximum,sa_ff_gated
0.0,1.0,1.0,shuffled,22,middle,sa_ff_gated
0.0,0.9833333333333333,0.9833333333333333,shuffled,22,minimum,sa_ff_gated
0.0,1.0,1.0,shuffled,33,first,sa_ff_gated
0.0,1.0,1.0,shuffled,33,last,sa_ff_gated
-0.01666666666666672,1.0,0.9833333333333333,shuffled,33,maximum,sa_ff_gated
-0.01666666666666672,1.0,0.9833333333333333,shuffled,33,middle,sa_ff_gated
-0.033333333333333326,0.9833333333333333,0.95,shuffled,33,minimum,sa_ff_gated
0.0,1.0,1.0,shuffled,44,first,sa_ff_gated
0.0,1.0,1.0,shuffled,44,last,sa_ff_gated
0.0,0.9833333333333333,0.9833333333333333,shuffled,44,maximum,sa_ff_gated
0.0,1.0,1.0,shuffled,44,middle,sa_ff_gated
-0.050000000000000044,0.9666666666666667,0.9166666666666666,shuffled,44,minimum,sa_ff_gated
0.0,1.0,1.0,shuffled,55,first,sa_ff_gated
0.0,1.0,1.0,shuffled,55,last,sa_ff_gated
-0.15000000000000002,0.9666666666666667,0.8166666666666667,shuffled,55,maximum,sa_ff_gated
0.0,1.0,1.0,shuffled,55,middle,sa_ff_gated
-0.11666666666666659,0.9833333333333333,0.8666666666666667,shuffled,55,minimum,sa_ff_gated
