gate_block_above_0_9,gate_block_below_0_5,gate_block_mean,gate_candidate_norm_spearman,gate_ff_above_0_9,gate_ff_below_0_5,gate_ff_mean,gate_sa_above_0_9,gate_sa_below_0_5,gate_sa_mean,gate_utility_block_spearman,gate_utility_ff_spearman,gate_utility_sa_spearman,layer,n,seed,task_family,utility_block_mean,utility_ff_mean,utility_sa_mean,variant
0.5166666666666667,0.016666666666666666,0.8341468498110771,0.2050569602667408,1.0,0.0,1.0,1.0,0.0,1.0,0.14881911642122814,,,5,60,22,first,0.025991772448954484,0.001638917011829714,0.018287207232788205,gated
1.0,0.0,0.9463927110036214,0.2578494026118367,1.0,0.0,1.0,1.0,0.0,1.0,0.13814948596832458,,,5,60,33,first,0.015845241440304865,2.5108386762440204e-05,0.018302742640177408,gated
0.75,0.05,0.9077774544556936,0.2995832175604335,1.0,0.0,1.0,1.0,0.0,1.0,0.23039733259238682,,,5,60,44,first,0.03432041283231228,0.008829607251876344,0.014986842436095079,gated
0.9833333333333333,0.0,0.9527811199426651,0.39538760766879694,1.0,0.0,1.0,1.0,0.0,1.0,0.4057793831619895,,,5,60,55,first,0.0011492629729521772,0.00020716384751722216,0.0010100125645597776,gated
1.0,0.0,0.9528813630342483,0.39522089469297034,1.0,0.0,1.0,1.0,0.0,1.0,0.4404556821339261,,,6,60,11,first,0.006468792841769755,2.8229710490753254e-05,0.01210552971654882,gated
0.6833333333333333,0.0,0.9107579211393992,0.7331480966935261,1.0,0.0,1.0,1.0,0.0,1.0,0.28013337038066133,,,6,60,22,first,0.06907628433546051,0.000913565291557461,0.034551505596997836,gated
0.9,0.0,0.939269537727038,0.6165045846068353,1.0,0.0,1.0,1.0,0.0,1.0,0.4540705751597667,,,6,60,33,first,0.054580418230034414,0.0008743883421023687,0.058799167481871945,gated
0.5333333333333333,0.11666666666666667,0.8147200790544351,0.814504028896916,1.0,0.0,1.0,1.0,0.0,1.0,0.6625729369269243,,,6,60,44,first,0.005526600902279218,-0.00039557500664765634,0.003711211564950645,gated
0.9666666666666667,0.0,0.9484008342027664,0.4177271464295639,1.0,0.0,1.0,1.0,0.0,1.0,0.25851625451514315,,,6,60,55,first,0.0012782724535403153,0.0001531450388332208,0.0014775314717553555,gated
0.5166666666666667,0.0,0.882375548283259,0.8392331203111977,1.0,0.0,1.0,1.0,0.0,1.0,0.6975826618505142,,,7,60,11,first,0.002485757472459227,0.00016015453729778528,0.0034459689205201963,gated
