causal_utility,e1_classification,example_id,gate,gate_entropy,layer,relative_update_norm,seed,task
0.1346583366394043,useful,family-00311-minimum,0.9750580787658691,0.11669400475349193,3,0.7544329441589429,11,minimum
-0.004791594110429287,redundant_or_uncertain,family-00311-sum_mod_10,0.9270985126495361,0.26108034344371944,0,0.5271174781499285,11,sum_mod_10
-0.01677883416414261,redundant_or_uncertain,family-00311-sum_mod_10,0.956303060054779,0.17952028500784561,1,0.49972087132826026,11,sum_mod_10
-0.026702329516410828,useful,family-00311-sum_mod_10,0.9666576981544495,0.14617494439434497,2,0.7179435071767462,11,sum_mod_10
0.0059957983903586864,candidate_harmful,family-00311-sum_mod_10,0.9793486595153809,0.1005633040863922,3,0.45829091002604444,11,sum_mod_10
-0.14082802832126617,useful,family-00312-maximum,0.9200815558433533,0.27857013889649007,0,0.6182046111901967,11,maximum
-0.0076408833265304565,useful,family-00312-maximum,0.9570764899253845,0.17712643936518968,1,0.4766586748522695,11,maximum
0.058286622166633606,useful,family-00312-maximum,0.9667370915412903,0.14590752760924333,2,0.8533318010524147,11,maximum
0.033342838287353516,useful,family-00312-maximum,0.9747014045715332,0.11799895004227173,3,0.34831177243258377,11,maximum
0.17706799507141113,useful,family-00312-minimum,0.9270985126495361,0.26108034344371944,0,0.43623107468089123,11,minimum
0.1239008903503418,useful,family-00312-minimum,0.957300066947937,0.1764317432305339,1,0.6193873962160458,11,minimum
0.3703854978084564,useful,family-00312-minimum,0.9640761613845825,0.15476611950192504,2,0.9579257155935613,11,minimum
0.07527858018875122,useful,family-00312-minimum,0.9784563779830933,0.10398730322029333,3,0.4107929010165503,11,minimum
0.02143291011452675,redundant_or_uncertain,family-00312-sum_mod_10,0.91448575258255,0.292034697609945,0,0.6291388885493734,11,sum_mod_10
-0.028286680579185486,redundant_or_uncertain,family-00312-sum_mod_10,0.9508283734321594,0.196068887030645,1,0.4811458682541181,11,sum_mod_10
0.020184088498353958,useful,family-00312-sum_mod_10,0.9754806756973267,0.11514109473483353,2,0.6481371856046947,11,sum_mod_10
-0.0007744878530502319,candidate_harmful,family-00312-sum_mod_10,0.9727129936218262,0.12518119717037113,3,0.46776807952371013,11,sum_mod_10
-0.032242774963378906,useful,family-00313-maximum,0.933686375617981,0.243997324757376,0,0.558919279810621,11,maximum
0.31753548979759216,useful,family-00313-maximum,0.9571725130081177,0.17682822689589273,1,0.9006553251328205,11,maximum
-0.1697159707546234,useful,family-00313-maximum,0.960509181022644,0.1663225533686956,2,0.3140910783176257,11,maximum
-0.037097394466400146,useful,family-00313-maximum,0.9735556244850159,0.12215639418431365,3,0.47021104722063306,11,maximum
0.2151067852973938,useful,family-00313-minimum,0.9224527478218079,0.27273765366175906,0,0.5189274120997799,11,minimum
0.2342028021812439,useful,family-00313-minimum,0.9414902925491333,0.22284708591378322,1,0.7141288359880164,11,minimum
0.25062933564186096,useful,family-00313-minimum,0.9548690915107727,0.1839208694131587,2,0.6613241905656981,11,minimum
0.08291327953338623,useful,family-00313-minimum,0.9705567955970764,0.13280133267135416,3,0.46485202588425567,11,minimum
-0.016330357640981674,redundant_or_uncertain,family-00313-sum_mod_10,0.9273236989974976,0.26050733014740535,0,0.6347118040272385,11,sum_mod_10
-0.007278718054294586,redundant_or_uncertain,family-00313-sum_mod_10,0.9632564187049866,0.15745325263259805,1,0.5111155922426872,11,sum_mod_10
-0.04476518929004669,useful,family-00313-sum_mod_10,0.9749009013175964,0.11726970208124787,2,0.6964214007543305,11,sum_mod_10
0.0010213255882263184,candidate_harmful,family-00313-sum_mod_10,0.982631504535675,0.0876129846483387,3,0.43397422829112287,11,sum_mod_10
0.06834036111831665,useful,family-00314-maximum,0.9270114302635193,0.26130173358579645,0,0.5394351574125812,11,maximum
0.5728196501731873,useful,family-00314-maximum,0.968842089176178,0.1387444252050824,1,0.7526946640321663,11,maximum
0.15549415349960327,useful,family-00314-maximum,0.9711422324180603,0.13074895704168316,2,0.6862675743067838,11,maximum
0.05609399080276489,useful,family-00314-maximum,0.9811145663261414,0.09366913786938293,3,1.001763023025111,11,maximum
0.09886389970779419,useful,family-00314-minimum,0.933686375617981,0.243997324757376,0,0.4945675014684719,11,minimum
0.2443736493587494,useful,family-00314-minimum,0.957992434501648,0.17427264166814257,1,0.5304232778609659,11,minimum
0.03038877248764038,useful,family-00314-minimum,0.9638413190841675,0.15553790192037203,2,0.7517385411827359,11,minimum
0.10569560527801514,useful,family-00314-minimum,0.9774824976921082,0.10768135692631503,3,0.9458679020411409,11,minimum
0.00775618851184845,redundant_or_uncertain,family-00314-sum_mod_10,0.91448575258255,0.292034697609945,0,0.45119320943027835,11,sum_mod_10
0.0008146986365318298,redundant_or_uncertain,family-00314-sum_mod_10,0.9512345194816589,0.19486410689968767,1,0.5974636233808571,11,sum_mod_10
-0.023536358028650284,useful,family-00314-sum_mod_10,0.9776599407196045,0.10701155762658227,2,0.4098656350925508,11,sum_mod_10
-0.004550129175186157,candidate_harmful,family-00314-sum_mod_10,0.9765825867652893,0.11105647786550893,3,0.6169287761325524,11,sum_mod_10
0.026328861713409424,useful,family-00315-maximum,0.9144240617752075,0.2921808606861063,0,0.41467660686554214,11,maximum
0.05684584379196167,useful,family-00315-maximum,0.948019802570343,0.20430504444473763,1,0.633310608348335,11,maximum
0.5674269199371338,useful,family-00315-maximum,0.9643557667732239,0.15384515080777153,2,1.2347126376113422,11,maximum
0.10243457555770874,useful,family-00315-maximum,0.9720398783683777,0.12757822692621879,3,0.733817675955118,11,maximum
-0.04302777349948883,useful,family-00315-minimum,0.9232639074325562,0.2707244879911957,0,0.32054867691251687,11,minimum
0.07619286328554153,useful,family-00315-minimum,0.9645028114318848,0.15335990127916774,1,0.6952499723215471,11,minimum
0.07333357632160187,useful,family-00315-minimum,0.9774065017700195,0.10796778274745189,2,0.6030824342062716,11,minimum
