layer,attention_relative_update_norm,ff_relative_update_norm,attention_ff_cosine,attention_ff_cancellation,block_relative_update_norm,attention_entropy,attention_top1_mass,attention_sink_mass,head_output_norm,sa_utility,ff_utility,block_utility
18,0.3270558366343471,0.3352788964199775,-0.0569967844614319,0.2972826039070611,0.49623641547661246,1.2859130020606444,0.5876881800256771,0.5417099261274736,9.065666443064481,0.3046877980232239,-0.00893725547939539,0.3020545542240143
19,0.28250751080558184,0.3438506420685111,0.014055535968669415,0.2765640639341794,0.4819040172957242,0.9160361787232962,0.7035493687521871,0.6270944732237934,10.085146270692348,0.2257719188928604,0.01942470856010914,0.19690710306167603
20,0.2700056622436802,0.31292810177618885,0.09896626322629995,0.23643801025636904,0.4617382872582331,0.7938245068495174,0.7407057298600653,0.6877961523942449,9.651285486787067,0.14092904329299927,0.07475142925977707,0.1715165227651596
21,0.18750305046585827,0.31280686969554294,0.06741323247986876,0.2259669541330128,0.39077265265814776,0.5584397168996664,0.8326485171097914,0.8265625243497358,6.884753940790728,0.33439138531684875,0.10346563905477524,0.5578771233558655
22,0.17651927983132445,0.28750631039632596,0.16376631352334067,0.200592367203681,0.37652427591907967,0.7895352230588197,0.745650127936912,0.7323583264836458,10.670236339854014,0.2378024309873581,0.14208866655826569,0.4665910303592682
23,0.1659170870079434,0.19995166033897857,0.2019350309114248,0.20139847089956095,0.2973856311534521,0.679980249430178,0.778031481445286,0.7502909442064465,10.497942056609215,0.2865065038204193,0.04391595348715782,0.36103296279907227
24,0.1920873622178448,0.22923280872950832,0.3523171209796731,0.15360251380192055,0.3735446532558814,0.7071497991220874,0.7825246199653331,0.7711918482991578,12.005484983161255,0.0825665071606636,0.013239417225122452,0.1388477385044098
25,0.19127085628653212,0.20652487400158343,0.3499012881593144,0.15148611317624103,0.35564125216550674,0.7005076901973003,0.7762012691147482,0.7584953590000453,15.145560540872943,0.3780713379383087,0.014732149429619312,0.3937448263168335
26,0.1505459294818178,0.19160440061139045,0.1814364986417426,0.21241927425284962,0.26932047382201796,0.5951978748895012,0.8224207575005673,0.7853945231589343,14.931019082665443,0.13363386690616608,0.015905849635601044,0.21105419099330902
27,0.08742586820345413,0.4199540490632529,0.04460748504709125,0.14659026756391422,0.4491252347335711,0.638051713284957,0.7861448525410186,0.7670501064004474,12.880679013473648,0.07180798798799515,0.16317422688007355,0.118804931640625
