mode,layer,utility_mean,utility_ci95_low,utility_ci95_high,utility_median,utility_std,n
skip_block,5,0.33669403195381165,0.1434447169303894,0.5544298887252808,0.10034829378128052,0.5203230891016117,24
skip_block,6,0.2545332610607147,0.13735055923461914,0.37797245383262634,0.13288843631744385,0.31818704562847017,24
skip_block,7,0.09438970685005188,0.02707614004611969,0.1656637191772461,0.03770589828491211,0.18216876847203226,24
skip_block,8,0.12413405627012253,0.0546293742954731,0.19642773270606995,0.08146262168884277,0.17658835248229765,24
skip_block,9,0.03478306159377098,-0.01750209927558899,0.08870920538902283,0.013462364673614502,0.13502288683005367,24
skip_block,10,0.1526077836751938,0.07281892746686935,0.24761606752872467,0.048963069915771484,0.22289059261184363,24
skip_block,11,0.340951532125473,0.19749382138252258,0.49534162878990173,0.14821195602416992,0.3773660870834505,24
skip_block,12,0.09221243858337402,0.010463761165738106,0.180672287940979,0.0700693130493164,0.21570337914052443,24
skip_block,13,0.11729973554611206,0.042863134294748306,0.1993103176355362,0.05086773633956909,0.19589486302603418,24
skip_block,14,0.010992427356541157,-0.06406701356172562,0.0827198177576065,0.017842382192611694,0.1874209353858592,24
skip_block,15,0.17860688269138336,0.10968009382486343,0.2564071714878082,0.11705911159515381,0.18790157680073138,24
skip_block,16,0.0764017328619957,-0.016236288473010063,0.1636519730091095,0.07572996616363525,0.24115996886339114,24
skip_block,17,0.0809256061911583,0.022730456665158272,0.14144010841846466,0.056655168533325195,0.15888642758891622,24
skip_block,18,0.3020545542240143,0.20570077002048492,0.4068220257759094,0.2244364619255066,0.2654202321399109,24
skip_block,19,0.19690710306167603,0.08361968398094177,0.31611087918281555,0.15434926748275757,0.2970662577933987,24
skip_block,20,0.1715165227651596,0.08916296064853668,0.27469420433044434,0.07549065351486206,0.2322286305530224,24
skip_block,21,0.5578771233558655,0.39360782504081726,0.7359005808830261,0.39710044860839844,0.4445949565438497,24
skip_block,22,0.4665910303592682,0.29368552565574646,0.6718509197235107,0.2590422034263611,0.47074336918584014,24
skip_block,23,0.36103296279907227,0.21893632411956787,0.5172398090362549,0.27064311504364014,0.3700594854746548,24
skip_block,24,0.1388477385044098,0.06231525540351868,0.2271767109632492,0.05120784044265747,0.21181754707620254,24
skip_block,25,0.3937448263168335,0.2150305211544037,0.6378854513168335,0.17133879661560059,0.5262870287911384,24
skip_block,26,0.21105419099330902,0.1322818249464035,0.292044460773468,0.2213713526725769,0.2046637471372365,24
skip_block,27,0.118804931640625,-0.12377895414829254,0.39932823181152344,0.03338479995727539,0.6542981941110354,24
skip_ff,0,3.969609498977661,2.3455843925476074,5.679457664489746,1.312671422958374,4.325024627002244,24
skip_ff,1,5.6040215492248535,3.6800310611724854,7.539721488952637,7.1985039710998535,4.999637611288468,24
skip_ff,2,2.8443031311035156,1.6748205423355103,3.9671716690063477,3.0862512588500977,3.0307346486563316,24
skip_ff,3,0.09730404615402222,-0.03436525911092758,0.2132665365934372,0.05838918685913086,0.328755237389676,24
skip_ff,4,0.39076554775238037,0.19034011662006378,0.6453052759170532,0.11543813347816467,0.5713625701902151,24
skip_ff,5,0.09843361377716064,0.004209874197840691,0.22598396241664886,0.01559746265411377,0.3005160798195308,24
skip_ff,6,0.11698812246322632,0.03073280304670334,0.21431654691696167,0.03899884223937988,0.24466075428610504,24
skip_ff,7,0.08066714555025101,0.020812643691897392,0.14682698249816895,0.05230218172073364,0.164253156655427,24
skip_ff,8,0.0867566391825676,0.010907490737736225,0.1693391650915146,0.03483361005783081,0.2037411652340494,24
skip_ff,9,0.023237640038132668,-0.046172983944416046,0.08010581135749817,0.02844136953353882,0.16404401343592867,24
skip_ff,10,0.10945725440979004,0.05834747478365898,0.17154468595981598,0.05019021034240723,0.150029338097069,24
skip_ff,11,0.18284165859222412,0.08038491010665894,0.30466845631599426,0.04217815399169922,0.2825413997863005,24
skip_ff,12,0.03616073355078697,-0.037194978445768356,0.12034108489751816,0.01587820053100586,0.2017804955090048,24
skip_ff,13,0.01955285295844078,-0.03466314077377319,0.07339885085821152,0.002794802188873291,0.13736418362551717,24
skip_ff,14,-0.023631921038031578,-0.0780850499868393,0.02309522219002247,-0.0035247802734375,0.12771807430159718,24
skip_ff,15,0.0729016661643982,0.030588306486606598,0.117807537317276,0.015838205814361572,0.11393332980486542,24
skip_ff,16,0.034225013107061386,-0.05901448428630829,0.1236383393406868,0.029645442962646484,0.23427524163049876,24
skip_ff,17,-0.026118380948901176,-0.06574465334415436,0.013144046999514103,0.003801584243774414,0.10338309462577198,24
skip_ff,18,-0.00893725547939539,-0.07801596820354462,0.04263085499405861,0.033888429403305054,0.15604773268050606,24
skip_ff,19,0.01942470856010914,-0.06915362179279327,0.09582702070474625,0.02922189235687256,0.21237491568977335,24
skip_ff,20,0.07475142925977707,0.013077332638204098,0.13997817039489746,0.01802539825439453,0.16052162074051474,24
skip_ff,21,0.10346563905477524,0.03401993215084076,0.16884571313858032,0.04018878936767578,0.178224206964432,24
skip_ff,22,0.14208866655826569,0.08091174811124802,0.21466036140918732,0.08881235122680664,0.17583541970964753,24
skip_ff,23,0.04391595348715782,-0.02156810462474823,0.10275894403457642,0.002988100051879883,0.15620490191019315,24
skip_ff,24,0.013239417225122452,-0.039891865104436874,0.06590598821640015,-0.005705475807189941,0.13270263808974647,24
skip_ff,25,0.014732149429619312,-0.09234951436519623,0.091651052236557,0.019027113914489746,0.2411860308461964,24
skip_ff,26,0.015905849635601044,-0.08910536020994186,0.09871351718902588,0.03716635704040527,0.2356846432040731,24
skip_ff,27,0.16317422688007355,-0.09499315172433853,0.4630148410797119,-0.006570398807525635,0.7123542879858717,24
