control,mae,r2,seed,source_layer,target_layer
shuffled_goal,0.1279204296806397,-0.011500811278100986,33,0,3
goal_latent,0.16140860590233386,0.07157257690711027,33,1,2
current_residual,0.1739034466729544,0.016835683645358035,33,1,2
pooled_residual,0.15222979469294748,0.18469790181334744,33,1,2
moment_random,0.17788758535395408,-0.07956229849847474,33,1,2
shuffled_goal,0.17920588935359963,-0.14998344260087637,33,1,2
goal_latent,0.11357260787172223,0.1674358963842958,33,1,3
current_residual,0.11571038758528232,0.1905461867075422,33,1,3
pooled_residual,0.11189188695308905,0.2275620016846217,33,1,3
moment_random,0.13933882295679398,-0.23215730913022847,33,1,3
shuffled_goal,0.13720099022021184,-0.12731939473556553,33,1,3
goal_latent,0.12028916586061468,0.10353790399548735,33,2,3
current_residual,0.11016002223445483,0.2777713012443158,33,2,3
pooled_residual,0.11306349669514107,0.2393220869384428,33,2,3
moment_random,0.13219400999914618,-0.0744297569985568,33,2,3
shuffled_goal,0.13487273389250248,-0.11013988260503393,33,2,3
goal_latent,0.1693003465481993,-0.0601184185872059,44,0,1
current_residual,0.16701577724182495,0.012035568441616462,44,0,1
pooled_residual,0.1533302268370808,0.17298851946222538,44,0,1
moment_random,0.18299872667692885,-0.18322665244488978,44,0,1
shuffled_goal,0.18461169847004955,-0.156182108851886,44,0,1
goal_latent,0.13648974678548134,-0.21936431550065572,44,0,2
current_residual,0.1219346934798227,-0.08086280078130814,44,0,2
pooled_residual,0.12388696183860722,-0.003084156457384024,44,0,2
moment_random,0.13650497849488763,-0.22269823588631676,44,0,2
shuffled_goal,0.1390013801082138,-0.3537736526220203,44,0,2
goal_latent,0.19171558977753755,-0.11080721491044376,44,0,3
current_residual,0.17855161880700554,0.036033213808049136,44,0,3
pooled_residual,0.1559488237153505,0.27180003526254304,44,0,3
moment_random,0.1968516332159792,-0.14927695699328392,44,0,3
shuffled_goal,0.18838150369977483,-0.08451247394544636,44,0,3
goal_latent,0.12065384575964502,0.010549980484536925,44,1,2
current_residual,0.1273773812851832,-0.10677568853920616,44,1,2
pooled_residual,0.12465466286111836,-0.0016534575270399365,44,1,2
moment_random,0.13586724958933738,-0.14342236622085247,44,1,2
shuffled_goal,0.13953426881205402,-0.28739092625086293,44,1,2
goal_latent,0.18150516118828075,0.03798032711101029,44,1,3
current_residual,0.1732509906596255,0.0615956097005117,44,1,3
pooled_residual,0.15449056500201433,0.2657588251048413,44,1,3
moment_random,0.19559061187805343,-0.15579016427578596,44,1,3
shuffled_goal,0.19710255678392974,-0.17074896147781482,44,1,3
goal_latent,0.1643912581340065,0.20199425915854985,44,2,3
current_residual,0.1592408972191816,0.1836183117649821,44,2,3
pooled_residual,0.14986339332113321,0.28794638890974067,44,2,3
moment_random,0.19391762073125962,-0.1331335794235231,44,2,3
shuffled_goal,0.19490648113280207,-0.12084506312159426,44,2,3
goal_latent,0.1690686146828676,0.023157632848427534,55,0,1
current_residual,0.1726846342727698,0.041504711874832734,55,0,1
pooled_residual,0.151082692020093,0.2793471647499146,55,0,1
moment_random,0.20705989649732326,-0.3341852257574389,55,0,1
shuffled_goal,0.18120709590211403,-0.1604866522570969,55,0,1
goal_latent,0.17249125676475502,-0.11618540726294047,55,0,2
current_residual,0.1574794246732507,-0.07222781386853128,55,0,2
pooled_residual,0.14285368346677219,0.18586759794484398,55,0,2
moment_random,0.1652328720461695,-0.026330617165253978,55,0,2
shuffled_goal,0.1698323277704267,-0.058599552802691024,55,0,2
goal_latent,0.1399752291993683,0.04968693654880918,55,0,3
current_residual,0.12299702065924766,0.2402527604148189,55,0,3
pooled_residual,0.10874677234168363,0.3657811136673905,55,0,3
moment_random,0.15555555226636217,-0.19156877543809347,55,0,3
shuffled_goal,0.15089296581429346,-0.07070160842522633,55,0,3
goal_latent,0.17129145727473624,-0.06143695689487827,55,1,2
current_residual,0.1864630048858359,-0.4991340681082772,55,1,2
pooled_residual,0.14012221947964176,0.19377479091361804,55,1,2
