ci95_high,ci95_low,layer,mean_correct_minus_incorrect,median_correct_minus_incorrect,metric,model_variant,paired_effect_size_dz,raw_n_correct,raw_n_incorrect,seed_n,std_correct_minus_incorrect,task_family,token_bin
0.0003049238584935665,-0.008413848467171192,0,-0.003698379499837756,-0.0026432685628984265,candidate_novelty,baseline,-0.6576865286222594,1342,183,5,0.005623316487240856,maximum,4
0.014614881947636604,-0.06041227653622627,0,-0.02200714871287346,-0.03017959625255129,candidate_update_norm,baseline,-0.43671812974071594,1342,183,5,0.050392111557034124,maximum,4
0.014614882878959179,-0.060412317514419556,0,-0.02200717106461525,-0.03017960245675244,effective_displacement,baseline,-0.4367183334667739,1342,183,5,0.05039213923060453,maximum,4
0.014614881947636604,-0.06041227653622627,0,-0.02200714871287346,-0.03017959625255129,effective_update_norm,baseline,-0.43671812974071594,1342,183,5,0.050392111557034124,maximum,4
0.0028352453373372555,-0.012652645818889141,0,-0.004455254878848791,-0.0050664162356969245,relative_update_norm,baseline,-0.4304229252672825,1342,183,5,0.010350877282110805,maximum,4
0.004224439151585102,-0.00023680535377934575,0,0.0015722274547442794,0.0004660849060329486,representation_direction_cosine,baseline,0.5142501681905802,1342,183,5,0.0030573202538294836,maximum,4
0.27504613995552063,-0.06153696030378342,0,0.09927060455083847,0.06226794212796882,residual_norm,baseline,0.4595039989227845,1342,183,5,0.21603860855086923,maximum,4
0.01644793152809143,-0.03969540819525719,0,-0.011587895452976227,-0.025974892106249925,attention_entropy,baseline,-0.3160090289429762,1475,200,5,0.03666950748760808,maximum,5
0.006946437992155552,-0.004589273128658533,0,0.0010248397011309862,0.0015398180397765138,attention_evidence_mass,baseline,0.14116142380893923,1475,200,5,0.0072600550028320615,maximum,5
0.0394185371696949,0.003980896435678005,0,0.019789019599556923,0.0082749697197399,candidate_cosine,baseline,0.8390160581272579,1475,200,5,0.023585984329939275,maximum,5
0.005918680224567652,-0.002754207933321595,0,0.0017552757635712624,0.0042084516955316065,candidate_dominance,baseline,0.30547798515216656,1475,200,5,0.005745997580470205,maximum,5
0.013927343301475048,0.004179051145911217,0,0.008198387920856476,0.006106207987009449,candidate_novelty,baseline,1.3237732871980135,1475,200,5,0.006193196372930088,maximum,5
0.13170774281024933,-0.06458178162574768,0,0.03138823062181473,0.03718319638022072,candidate_update_norm,baseline,0.24292590520741905,1475,200,5,0.12920907136278573,maximum,5
0.13170774281024933,-0.06458175927400589,0,0.03138824924826622,0.0371832219049284,effective_displacement,baseline,0.24292607760479304,1475,200,5,0.12920905634236,maximum,5
0.13170774281024933,-0.06458178162574768,0,0.03138823062181473,0.03718319638022072,effective_update_norm,baseline,0.24292590520741905,1475,200,5,0.12920907136278573,maximum,5
