ci95_high,ci95_low,layer,mean,median,metric,model_variant,seed_n,std,task_family
-0.0431709960103035,-0.11305944621562958,1,-0.072357177734375,-0.06083351168781519,candidate_cosine,baseline,5,0.04701004337268854,sum_mod_10
0.3018423020839691,0.2649170756340027,1,0.2827640175819397,0.28367577747600836,candidate_dominance,baseline,5,0.024849782686487187,sum_mod_10
0.981031060218811,0.9559475779533386,1,0.9705781936645508,0.9749810675779979,candidate_novelty,baseline,5,0.016718324433201755,sum_mod_10
4.782060146331787,3.9604544639587402,1,4.37002420425415,4.4727184772491455,candidate_update_norm,baseline,5,0.5562138943798678,sum_mod_10
4.774336814880371,3.9604549407958984,1,4.37002420425415,4.472718448173709,effective_displacement,baseline,5,0.5562138716815606,sum_mod_10
4.784329891204834,3.9604549407958984,1,4.37002420425415,4.4727184772491455,effective_update_norm,baseline,5,0.5562138943798678,sum_mod_10
0.4563705027103424,0.3695014417171478,1,0.4106259346008301,0.4189236064751943,relative_update_norm,baseline,5,0.05886780991454627,sum_mod_10
0.9354820251464844,0.9059085845947266,1,0.9210885763168335,0.9184626658757528,representation_direction_cosine,baseline,5,0.01950346586608719,sum_mod_10
10.985641479492188,10.75647258758545,1,10.871742248535156,10.871937306722005,residual_norm,baseline,5,0.13718087516220026,sum_mod_10
2.594029188156128,2.159998655319214,2,2.3854141235351562,2.4099951769624437,attention_entropy,baseline,5,0.2704296439449181,sum_mod_10
0.38972628116607666,0.26325374841690063,2,0.31395843625068665,0.28327089069145067,attention_evidence_mass,baseline,5,0.08471939546922444,sum_mod_10
0.13500909507274628,0.05571671202778816,2,0.08937130123376846,0.06352386414641287,candidate_cosine,baseline,5,0.05051676777198626,sum_mod_10
0.31044188141822815,0.2916751503944397,2,0.30105850100517273,0.29957520802106175,candidate_dominance,baseline,5,0.012240699040092944,sum_mod_10
0.9780758023262024,0.961119532585144,2,0.9703485369682312,0.9758303848708548,candidate_novelty,baseline,5,0.010843725717524903,sum_mod_10
5.451512813568115,4.810434818267822,2,5.130973815917969,5.101084632532937,candidate_update_norm,baseline,5,0.4085836199752617,sum_mod_10
5.451512813568115,4.810434818267822,2,5.130973815917969,5.101084641047886,effective_displacement,baseline,5,0.40858361596659737,sum_mod_10
5.451512813568115,4.810434341430664,2,5.130973815917969,5.101084632532937,effective_update_norm,baseline,5,0.4085836199752617,sum_mod_10
0.46899205446243286,0.42185455560684204,2,0.4464145302772522,0.43667157952274593,relative_update_norm,baseline,5,0.030524642767205904,sum_mod_10
0.927094578742981,0.9111248254776001,2,0.9191096425056458,0.9239394987622896,representation_direction_cosine,baseline,5,0.010619598557209611,sum_mod_10
11.759714126586914,11.38973331451416,2,11.556436538696289,11.514824867248535,residual_norm,baseline,5,0.23502370240007,sum_mod_10
2.3507673740386963,1.448309063911438,3,1.9051129817962646,1.8109448949495952,attention_entropy,baseline,5,0.5783994208743509,sum_mod_10
0.3262588083744049,0.22664855420589447,3,0.28053224086761475,0.2945452828596278,attention_evidence_mass,baseline,5,0.0617043062291699,sum_mod_10
0.329411119222641,0.20237794518470764,3,0.2658945620059967,0.26553562929232916,candidate_cosine,baseline,5,0.08259854862211906,sum_mod_10
0.38746458292007446,0.31225258111953735,3,0.3498585820198059,0.35967521170775096,candidate_dominance,baseline,5,0.04863889492295813,sum_mod_10
0.9248626828193665,0.8737794756889343,3,0.899727463722229,0.9068689207235973,candidate_novelty,baseline,5,0.03339734318185198,sum_mod_10
8.556690216064453,6.004215717315674,3,7.290328025817871,7.4615413824717205,candidate_update_norm,baseline,5,1.6533265782821682,sum_mod_10
8.576440811157227,6.004215717315674,3,7.290328025817871,7.461541350682577,effective_displacement,baseline,5,1.653326549090957,sum_mod_10
8.576440811157227,6.004215717315674,3,7.290328025817871,7.4615413824717205,effective_update_norm,baseline,5,1.6533265782821682,sum_mod_10
0.6496104001998901,0.46168214082717896,3,0.5556463003158569,0.5671215017636617,relative_update_norm,baseline,5,0.1202302912463087,sum_mod_10
0.9260462522506714,0.893244743347168,3,0.9091793298721313,0.9025794903437296,representation_direction_cosine,baseline,5,0.021383997582346534,sum_mod_10
