layer_i,layer_j,matrix,model_variant,run_id,seed,source_experiment,task_family,token_scope,value
0,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.1479605734348297
0,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.1392344832420349
0,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.06751435995101929
1,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.14796054363250732
1,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
1,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.30497807264328003
1,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.4252910614013672
2,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.1392344832420349
2,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.3049779534339905
2,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
2,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.24765776097774506
3,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.06751435995101929
3,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.42529112100601196
3,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.24765776097774506
3,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
0,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0000005960464478
0,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.7879492044448853
0,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.48734772205352783
0,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.28105857968330383
1,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.7879492044448853
1,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
1,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.7118303775787354
1,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.5055180191993713
2,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.48734772205352783
2,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.7118303775787354
2,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.9999998807907104
2,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.8180961012840271
3,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.28105857968330383
3,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.5055180191993713
3,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.8180961012840271
3,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.000000238418579
0,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0000001192092896
0,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.08327827602624893
0,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.06179962679743767
0,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,-0.029859809204936028
1,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.08327827602624893
1,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.9999998211860657
1,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.2701786160469055
1,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.3001357913017273
2,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.06179962679743767
2,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.2701786160469055
2,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.9999997019767761
2,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.11608710885047913
3,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,-0.029859809204936028
3,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.3001357913017273
3,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.11608710885047913
3,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
0,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
0,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.8443278074264526
