component,layer_i,layer_j,matrix,model_variant,run_id,seed,task_family,value
sa,2,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
sa,2,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.14003658294677734
sa,3,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.049051664769649506
sa,3,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.3581506907939911
sa,3,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.14003658294677734
sa,3,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
sa,0,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0000005960464478
sa,0,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7879492044448853
sa,0,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.48734772205352783
sa,0,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.28105857968330383
sa,1,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7879492044448853
sa,1,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
sa,1,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7118303775787354
sa,1,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.5055180191993713
sa,2,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.48734772205352783
sa,2,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7118303775787354
sa,2,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.9999998807907104
sa,2,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.8180961012840271
sa,3,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.28105857968330383
sa,3,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.5055180191993713
sa,3,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.8180961012840271
sa,3,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.000000238418579
sa,0,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0000001192092896
sa,0,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.0009800951229408383
sa,0,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,-0.003015805035829544
sa,0,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,-0.02339424565434456
sa,1,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.0009800951229408383
sa,1,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0000001192092896
sa,1,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.15294699370861053
sa,1,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.2598114609718323
sa,2,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,-0.003015805035829544
sa,2,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.15294699370861053
sa,2,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.9999997615814209
sa,2,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.024005914106965065
sa,3,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,-0.02339424565434456
sa,3,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.2598114609718323
sa,3,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.024005914106965065
sa,3,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,0,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,0,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7948465347290039
ff,0,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.634328305721283
ff,0,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.4714806377887726
ff,1,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7948465347290039
ff,1,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,1,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.8856896162033081
ff,1,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.737719714641571
ff,2,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.634328305721283
ff,2,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.8856896162033081
ff,2,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,2,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.8769451379776001
ff,3,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.4714806377887726
ff,3,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.737719714641571
ff,3,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.8769451379776001
ff,3,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,0,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,0,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.3069343864917755
ff,0,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.36173009872436523
ff,0,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.28553465008735657
ff,1,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.3069343864917755
ff,1,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,1,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.3577830493450165
ff,1,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.269381046295166
ff,2,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.36173009872436523
ff,2,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.3577830493450165
ff,2,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,2,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.4884948432445526
ff,3,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.28553465008735657
ff,3,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.269381046295166
ff,3,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.4884948432445526
ff,3,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,0,0,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.0
ff,0,1,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.18969875574111938
ff,0,2,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.17315317690372467
ff,0,3,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.1913479119539261
ff,1,0,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.18969875574111938
ff,1,1,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.0
ff,1,2,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.17293836176395416
ff,1,3,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.19191059470176697
ff,2,0,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.17315317690372467
ff,2,1,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.17293836176395416
ff,2,2,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.0
ff,2,3,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.13421578705310822
ff,3,0,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.1913479119539261
ff,3,1,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.19191059470176697
ff,3,2,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.13421578705310822
ff,3,3,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.0
ff,0,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,0,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7741775512695312
ff,0,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.6228047013282776
ff,0,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.3196823298931122
ff,1,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7741777300834656
ff,1,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,1,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.8956152200698853
ff,1,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.6371663808822632
ff,2,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.6228046417236328
ff,2,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.8956152200698853
ff,2,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,2,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7449663281440735
ff,3,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.3196823298931122
ff,3,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.6371663808822632
ff,3,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7449663281440735
ff,3,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,0,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,0,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.47172626852989197
ff,0,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.2682793140411377
ff,0,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.10927634686231613
ff,1,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.47172626852989197
ff,1,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,1,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.6471224427223206
ff,1,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.5299383401870728
ff,2,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.2682792842388153
ff,2,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.6471224427223206
ff,2,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,2,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.8016616702079773
ff,3,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.10927632451057434
ff,3,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.5299383401870728
ff,3,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.801661491394043
ff,3,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,0,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.9999998211860657
ff,0,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7567967176437378
ff,0,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.5363579988479614
ff,0,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.26127371191978455
ff,1,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7567967176437378
ff,1,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.9999997615814209
ff,1,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.8249939680099487
ff,1,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.5872334241867065
ff,2,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.5363579988479614
ff,2,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.8249939680099487
ff,2,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0000001192092896
ff,2,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7525845170021057
ff,3,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.26127371191978455
ff,3,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.5872334241867065
ff,3,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.7525845170021057
ff,3,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0000001192092896
ff,0,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.9999998211860657
ff,0,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.4977729022502899
ff,0,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.2637728154659271
ff,0,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.026366036385297775
ff,1,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.4977729022502899
ff,1,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
ff,1,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.556861400604248
ff,1,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.41082361340522766
ff,2,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.2637728154659271
ff,2,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.556861400604248
ff,2,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0000001192092896
ff,2,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.6616697907447815
ff,3,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.026366036385297775
ff,3,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.41082361340522766
ff,3,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,0.6616697907447815
ff,3,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,maximum,1.0
sa,0,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,1.0
sa,0,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.8443278074264526
sa,0,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.6364853978157043
sa,0,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.4499973654747009
sa,1,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.8443278074264526
sa,1,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,1.0
sa,1,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.8276947736740112
sa,1,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.6334318518638611
sa,2,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.6364853978157043
sa,2,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.8276947736740112
sa,2,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,1.0
sa,2,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.7959957718849182
sa,3,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.4499973654747009
sa,3,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.6334318518638611
sa,3,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.7959957718849182
sa,3,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,1.0
sa,0,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,1.0
sa,0,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.0681578665971756
sa,0,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.0340307354927063
sa,0,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.09741301089525223
sa,1,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.0681578665971756
sa,1,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,1.0
sa,1,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.06050363555550575
sa,1,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.14113043248653412
sa,2,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.0340307354927063
sa,2,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.06050363555550575
sa,2,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,1.0
sa,2,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.30858904123306274
sa,3,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.09741301089525223
sa,3,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.14113043248653412
sa,3,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.30858904123306274
sa,3,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,minimum,1.0
sa,0,0,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.0
sa,0,1,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.24863256514072418
sa,0,2,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.24944977462291718
sa,0,3,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.239529550075531
sa,1,0,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.24863256514072418
sa,1,1,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.0
sa,1,2,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.2583538889884949
sa,1,3,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.23287276923656464
sa,2,0,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.24944977462291718
sa,2,1,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.2583538889884949
sa,2,2,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.0
sa,2,3,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.183030366897583
sa,3,0,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.239529550075531
sa,3,1,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.23287276923656464
sa,3,2,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.183030366897583
sa,3,3,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.0
sa,0,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,minimum,1.0
sa,0,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.8220895528793335
sa,0,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.5414800643920898
sa,0,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.3350262939929962
sa,1,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.8220897316932678
sa,1,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,minimum,1.0
sa,1,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.7571204304695129
sa,1,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.5310633778572083
sa,2,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.5414802432060242
sa,2,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,minimum,0.7571203708648682
sa,2,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,minimum,1.0
