attention_ff_cancellation,attention_ff_cosine,cycle,depth,example_id,experiment,full_correct,full_target_logprob,layer,model_family,model_variant,random_ff_correct,random_sa_correct,revision,run_id,seed,skip_block_correct,skip_ff_correct,skip_sa_correct,source_cycle,source_experiment,task_family,utility_block,utility_ff,utility_random_ff,utility_random_sa,utility_sa,width
0.21788883209228516,0.1264498233795166,B,4,family-00340-minimum,B2,True,-0.25950610637664795,0,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,minimum,-0.1573358029127121,-0.017320364713668823,-0.03384573757648468,-0.16316744685173035,-0.1493358016014099,64
0.2641003727912903,0.07823555171489716,B,4,family-00340-minimum,B2,True,-0.25950610637664795,1,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,minimum,-0.011084049940109253,0.01630181074142456,0.5910027623176575,0.020269304513931274,0.011321932077407837,64
0.1661912202835083,0.08728165924549103,B,4,family-00340-minimum,B2,True,-0.25950610637664795,2,tiny_custom_transformer,baseline,True,False,1,cycleA-e1-baseline-seed-11,11,False,True,False,A,E1,minimum,2.0718026161193848,-0.0429721474647522,0.0035074949264526367,2.443143367767334,2.4954724311828613,64
0.2905241847038269,0.006579577922821045,B,4,family-00340-minimum,B2,True,-0.25950610637664795,3,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,minimum,0.21278733015060425,0.1165475845336914,0.21138888597488403,0.12376126646995544,0.08423811197280884,64
0.2144259810447693,0.20994827151298523,B,4,family-00340-sum_mod_10,B2,False,-2.452075719833374,0,tiny_custom_transformer,baseline,False,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,sum_mod_10,0.09690427780151367,-0.1282365322113037,-0.1305394172668457,0.3213956356048584,0.11986637115478516,64
0.265116810798645,0.07921890914440155,B,4,family-00340-sum_mod_10,B2,False,-2.452075719833374,1,tiny_custom_transformer,baseline,False,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,sum_mod_10,-0.03233790397644043,0.5740222930908203,0.6953089237213135,-0.6910127401351929,-0.5908184051513672,64
0.14433151483535767,0.29371559619903564,B,4,family-00340-sum_mod_10,B2,False,-2.452075719833374,2,tiny_custom_transformer,baseline,False,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,sum_mod_10,0.1820375919342041,0.18795037269592285,0.12446093559265137,-0.754533052444458,-0.15522003173828125,64
0.17983657121658325,0.33440467715263367,B,4,family-00340-sum_mod_10,B2,False,-2.452075719833374,3,tiny_custom_transformer,baseline,False,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,sum_mod_10,0.6483206748962402,0.035115957260131836,-0.12272071838378906,0.7183349132537842,0.6038997173309326,64
0.25965070724487305,0.09550704061985016,B,4,family-00341-maximum,B2,True,-0.21829669177532196,0,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,maximum,0.1335778683423996,0.007152661681175232,0.12616588175296783,0.17188958823680878,0.1081407219171524,64
0.1921977996826172,0.13191242516040802,B,4,family-00341-maximum,B2,True,-0.21829669177532196,1,tiny_custom_transformer,baseline,True,False,1,cycleA-e1-baseline-seed-11,11,False,True,False,A,E1,maximum,2.509284496307373,-0.014589965343475342,-0.013772621750831604,2.227322816848755,2.803856134414673,64
0.277022123336792,0.019608739763498306,B,4,family-00341-maximum,B2,True,-0.21829669177532196,2,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,maximum,0.03428669273853302,0.07253481447696686,0.09482298791408539,0.02289026975631714,-0.02199093997478485,64
0.2002527117729187,0.2716767489910126,B,4,family-00341-maximum,B2,True,-0.21829669177532196,3,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,maximum,0.14206956326961517,0.14828090369701385,0.3507729768753052,-0.028618693351745605,-0.0339047908782959,64
0.2697743773460388,0.05816090106964111,B,4,family-00341-minimum,B2,False,-1.8986780643463135,0,tiny_custom_transformer,baseline,False,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,minimum,0.4612867832183838,-0.22198331356048584,-0.42416977882385254,0.24304699897766113,0.717919111251831,64
0.26135021448135376,-0.021951936185359955,B,4,family-00341-minimum,B2,False,-1.8986780643463135,1,tiny_custom_transformer,baseline,False,True,1,cycleA-e1-baseline-seed-11,11,False,True,False,A,E1,minimum,-0.3196096420288086,-0.32831454277038574,-0.16026270389556885,-0.6790884733200073,-0.2182224988937378,64
0.2629762291908264,0.01473824679851532,B,4,family-00341-minimum,B2,False,-1.8986780643463135,2,tiny_custom_transformer,baseline,True,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,minimum,1.4328649044036865,-0.29212474822998047,-0.3405390977859497,2.0920917987823486,1.3867309093475342,64
0.24473494291305542,-0.012191860005259514,B,4,family-00341-minimum,B2,False,-1.8986780643463135,3,tiny_custom_transformer,baseline,False,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,minimum,0.9970786571502686,0.10912466049194336,0.36054158210754395,1.2278029918670654,1.0351965427398682,64
0.19054120779037476,0.3076012134552002,B,4,family-00341-sum_mod_10,B2,True,-1.6902433633804321,0,tiny_custom_transformer,baseline,True,False,1,cycleA-e1-baseline-seed-11,11,False,True,False,A,E1,sum_mod_10,0.11762785911560059,-0.23939085006713867,-0.1598573923110962,0.17799389362335205,0.29705989360809326,64
0.1814444661140442,0.33653780817985535,B,4,family-00341-sum_mod_10,B2,True,-1.6902433633804321,1,tiny_custom_transformer,baseline,True,False,1,cycleA-e1-baseline-seed-11,11,True,True,False,A,E1,sum_mod_10,-0.23361587524414062,-0.4071059226989746,-0.3969191312789917,0.28841233253479004,0.1706681251525879,64
0.20528370141983032,0.2629247009754181,B,4,family-00341-sum_mod_10,B2,True,-1.6902433633804321,2,tiny_custom_transformer,baseline,False,True,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,sum_mod_10,-0.003908753395080566,0.1939985752105713,0.34469783306121826,-0.48882031440734863,-0.14204633235931396,64
0.20431572198867798,0.26439961791038513,B,4,family-00341-sum_mod_10,B2,True,-1.6902433633804321,3,tiny_custom_transformer,baseline,True,False,1,cycleA-e1-baseline-seed-11,11,False,True,False,A,E1,sum_mod_10,1.0280460119247437,-0.11442255973815918,-0.05770468711853027,1.3392456769943237,1.060942530632019,64
0.2374938726425171,0.16282323002815247,B,4,family-00342-maximum,B2,True,-0.31222769618034363,0,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,maximum,0.16089993715286255,-0.01921677589416504,0.4469180405139923,0.26665887236595154,0.18322747945785522,64
0.2495015263557434,0.07790105044841766,B,4,family-00342-maximum,B2,True,-0.31222769618034363,1,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,maximum,0.7698607444763184,0.3325749933719635,0.36133208870887756,0.9750293493270874,0.48955729603767395,64
0.15597355365753174,0.27019423246383667,B,4,family-00342-maximum,B2,True,-0.31222769618034363,2,tiny_custom_transformer,baseline,True,False,1,cycleA-e1-baseline-seed-11,11,True,True,False,A,E1,maximum,0.3721924126148224,0.022017687559127808,0.051525115966796875,0.7662240266799927,0.5944387912750244,64
0.19000887870788574,0.27822020649909973,B,4,family-00342-maximum,B2,True,-0.31222769618034363,3,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,maximum,0.35692718625068665,0.09485498070716858,0.07828202843666077,0.4711412489414215,0.23110148310661316,64
