correct_partition,layer,mean,median,metric,model_variant,n,run_id,seed,std,task_family,token_bin
False,0,0.17410363403281995,0.15650872141122818,attention_dominance,baseline,56,cycleA-e1-baseline-seed-11,11,0.057124774656842764,maximum,2
False,0,2.3894373880965367,2.3109378814697266,ff_update_norm,baseline,56,cycleA-e1-baseline-seed-11,11,0.5562202174628295,maximum,2
False,0,0.20609053490417345,0.19675085693597794,ff_relative_update_norm,baseline,56,cycleA-e1-baseline-seed-11,11,0.04153252721958906,maximum,2
False,0,-0.09555460565856524,-0.06012040935456753,ff_state_update_cosine,baseline,56,cycleA-e1-baseline-seed-11,11,0.16634871388338757,maximum,2
False,0,0.9636915656072753,0.986878365278244,ff_novelty,baseline,56,cycleA-e1-baseline-seed-11,11,0.04970064292056389,maximum,2
False,0,0.16996291040309838,0.16440419107675552,ff_dominance,baseline,56,cycleA-e1-baseline-seed-11,11,0.026995919956387174,maximum,2
False,0,0.11262089619413018,0.1264556087553501,attention_ff_cosine,baseline,56,cycleA-e1-baseline-seed-11,11,0.16320598953626855,maximum,2
False,0,0.24517110415867396,0.23617354035377502,attention_ff_cancellation,baseline,56,cycleA-e1-baseline-seed-11,11,0.05619208144019908,maximum,2
False,0,3.70119517828737,3.327465772628784,combined_update_norm,baseline,56,cycleA-e1-baseline-seed-11,11,1.1826016482043649,maximum,2
False,0,0.7548288958413261,0.763826459646225,combined_vs_sum_norm,baseline,56,cycleA-e1-baseline-seed-11,11,0.05619208144019908,maximum,2
True,0,2.2251243462793004,2.10538911819458,attention_update_norm,baseline,269,cycleA-e1-baseline-seed-11,11,0.7105089221983417,maximum,2
True,0,0.19935209702935805,0.18641707301139832,attention_relative_update_norm,baseline,269,cycleA-e1-baseline-seed-11,11,0.06050168345612653,maximum,2
True,0,-0.028967016532352424,-0.016835495829582214,attention_state_update_cosine,baseline,269,cycleA-e1-baseline-seed-11,11,0.13721760286173484,maximum,2
True,0,0.9804022380853674,0.9908425807952881,attention_novelty,baseline,269,cycleA-e1-baseline-seed-11,11,0.026486347446572307,maximum,2
True,0,0.164201478366515,0.15712608397006989,attention_dominance,baseline,269,cycleA-e1-baseline-seed-11,11,0.04018380962187595,maximum,2
True,0,2.3368851526962335,2.340179204940796,ff_update_norm,baseline,269,cycleA-e1-baseline-seed-11,11,0.5138439225153867,maximum,2
