ci95_high,ci95_low,layer,median,metric,replicated,seed_n,standardized_mean,std,task_family
0.37458449602127075,-0.125947505235672,0,0.214201997290897,ff_update_norm_window_mean_shift,False,5,0.1260158270597458,0.3251400247494425,maximum
0.04485365003347397,-0.19319084286689758,0,-0.06558820597971023,ff_update_norm_wasserstein,False,5,-0.06845073401927948,0.14766468718337586,maximum
0.2969357967376709,-0.35391297936439514,0,0.13231466863109387,ff_update_norm_w4_rolling_variance,False,5,0.018248438835144043,0.42149104328885845,maximum
0.1768457591533661,-0.31965672969818115,0,-0.19892386723054242,ff_update_norm_w4_rolling_abs_skewness,False,5,-0.08178679645061493,0.32777382485640555,maximum
0.2603091597557068,-0.4998852610588074,0,0.21386472640276047,ff_update_norm_w4_rolling_abs_kurtosis,False,5,-0.056904327124357224,0.4972469081704803,maximum
0.2460116446018219,-0.4674505889415741,0,0.08101310929020258,ff_update_norm_w8_rolling_variance,False,5,-0.053972769528627396,0.4628124214260086,maximum
0.10630951821804047,-0.16319765150547028,0,-0.10790278929582127,ff_update_norm_w8_rolling_abs_skewness,False,5,-0.02985256537795067,0.1743129292518996,maximum
0.1626524031162262,-0.22866134345531464,0,0.0756909035906553,ff_update_norm_w8_rolling_abs_kurtosis,False,5,-0.03300446644425392,0.2557264006663388,maximum
0.09348869323730469,-0.47864705324172974,0,-0.08278096784862223,ff_update_norm_w16_rolling_variance,False,5,-0.14634744822978973,0.3842764089550883,maximum
0.09391903132200241,-0.14536292850971222,0,-0.08250796370098935,ff_update_norm_w16_rolling_abs_skewness,False,5,-0.03430238738656044,0.16312510927891302,maximum
0.28458115458488464,-0.04355521872639656,0,0.13420536744666683,ff_update_norm_w16_rolling_abs_kurtosis,False,5,0.11851231753826141,0.20835080972884473,maximum
0.09601067006587982,-0.1733303964138031,0,-0.08244775752672735,attention_entropy_mean,False,5,-0.03865986317396164,0.17334910460953687,maximum
0.11615989357233047,-0.39013710618019104,0,-0.10287992682205141,attention_entropy_variance,False,5,-0.11666829884052277,0.33041919253280516,maximum
0.47917109727859497,-0.545883297920227,0,0.24897891288522903,attention_entropy_first_difference_abs_mean,False,5,0.04020608589053154,0.6566074115468403,maximum
0.5719410181045532,-0.5090500116348267,0,0.2988201308063289,attention_entropy_second_difference_abs_mean,False,5,0.08637943863868713,0.7130182815215732,maximum
0.24708545207977295,-0.371319979429245,0,-0.025809058370647762,attention_entropy_acf_lag1,False,5,-0.050050556659698486,0.3951502878492069,maximum
0.0,-0.09669876098632812,0,0.0,attention_entropy_correlation_length,False,5,-0.032232917845249176,0.07207499701564536,maximum
0.15164926648139954,-0.28331780433654785,0,0.061142859119956226,attention_entropy_window_mean_shift,False,5,-0.04526285454630852,0.29738422067489423,maximum
