family_n,layer,seed,task_pair,utility_block_difference,utility_ff_difference,utility_sa_difference
60,6,22,first__last,0.004799424073038002,0.0013239429603951673,-0.004496547447827955
60,6,33,first__last,0.02457709317095578,-0.0003137642905736963,0.024568263010587545
60,6,44,first__last,5.3980465357502304e-05,-0.00041090444816897315,0.0004696586634963751
60,6,55,first__last,8.186310684929291e-05,-0.00014364789240062237,0.00039312616378689804
60,7,11,first__last,-0.005463929497636855,0.00026072441056991617,-0.004916562562963615
60,7,22,first__last,-0.00196768290673693,-4.7542527318000795e-05,-0.0019130128746231397
60,7,33,first__last,-0.0001523704694894453,-0.00048377750208601357,0.00025037387774015467
60,7,44,first__last,0.0012124792051812013,-0.0005248592390368382,0.0022527510727134844
60,7,55,first__last,8.143566471214096e-05,-2.9468823534746964e-05,3.099474124610424e-05
60,8,11,first__last,-0.000633886456489563,-0.0008316300615357856,0.00029404562277098495
60,8,22,first__last,0.0018929789463678996,-0.0007585663658877214,0.002231451061864694
60,8,33,first__last,0.00025468152404452363,-0.0008203437668271363,0.0006613443605601787
60,8,44,first__last,0.0005346104308652382,-0.00022457240071768563,0.0005653132529308398
60,8,55,first__last,-0.00037533472059294584,-1.3723344697306553e-05,-0.00033099631934116285
60,9,11,first__last,-0.00839315129754444,-0.00017123504852255186,-0.007395035389345139
60,9,22,first__last,0.0006453217899737259,0.0001292506349273026,0.0005522061061734954
60,9,33,first__last,0.00035862791119143365,-0.00017293137886251013,0.0004934173232565323
60,9,44,first__last,0.0003670901137714585,0.0003780729214971264,2.2126493665079276e-05
60,9,55,first__last,-0.0005840675323270262,-4.031885570536057e-05,-0.0005026481463573873
60,10,11,first__last,-0.0022016584989614785,-0.000925247937751313,-0.0014226866808409492
60,10,22,first__last,1.857494547342261e-05,-0.003577387713206311,0.002211434510536492
60,10,33,first__last,-0.0007342097776321074,-0.0002688787140262624,-0.0003714488392385344
60,10,44,first__last,0.00106787079712376,-0.00033711428986862304,0.0016448480736774703
60,10,55,first__last,-0.0001898742086874942,-0.00011524713675801953,-2.1367663672814768e-05
60,11,11,first__last,-0.0009065290292104085,9.573672044401367e-05,-0.0008993453190972408
60,11,22,first__last,0.0014056230545975267,-0.0017800384395134947,0.0023168564890511333
60,11,33,first__last,-2.4263067947079737e-05,-0.00042451610400651895,0.0003157304405855636
60,11,44,first__last,-0.0008031205972656608,-0.00014416937095423538,-0.0005665284969533483
60,11,55,first__last,-4.543483955785632e-05,-5.2131270058453084e-05,1.3837835285812617e-05
60,12,11,first__last,-0.001335125711436073,-0.000987970371109744,-0.00040388775523751973
60,12,22,first__last,0.0005157633995016415,-0.0008300425756412248,0.0010772900306619704
